index,x,y
193,8799,7623
194,-1747,-5459
195,1843,-9000
196,1881,80
197,-7576,-2148
198,-3479,8125
199,-5313,-334
200,9107,7037
201,2628,9626
202,8988,5968
203,-4284,-3739
204,-8770,-2659
205,8819,-6994
206,-1114,-9863
207,2388,8436
208,5564,-3916
209,-2557,-8796
210,-8802,-5471
211,-2694,-1112
212,-5294,536
213,-490,-7729
214,2558,-2865
215,-1180,3461
216,-1555,-5164
217,134,-1531
218,-1249,-2768
219,506,-7400
220,-5866,-1318
221,9321,6829
222,-1980,-1311
223,-2346,6638
224,-7288,2351
225,-8395,-348
226,-8163,-4142
227,-7841,56
228,-9574,-8298
229,7401,-7328
230,1817,5138
231,-7578,1700
232,-7468,-3192
233,-4955,1216
234,-3036,4408
235,5014,2489
236,-7848,-6443
237,-5137,-6345
238,4560,6902
239,-1407,-3463
240,-4436,2174
241,2773,204
242,-4216,-8145
243,-7228,977
244,-1849,7477
245,-5642,-1095
246,2239,-4350
247,6511,-8933
248,1209,-7306
249,-819,-8458
250,-6184,-2648
251,-4647,3908
252,-9380,9190
253,-1693,-686
254,8258,585
255,-3102,-2843
256,4410,8314
257,-1962,3048
258,-8272,-5314
259,-5351,-3813
260,-8375,-6097
261,3381,-444
262,-7048,1668
263,-5302,-9316
264,-6992,-5271
265,-9741,4294
266,-2606,1811
267,9542,-8409
268,-5062,3610
269,-305,-683
270,-1969,4082
271,-6637,-1860
272,2027,-4667
273,-2683,8847
274,4654,7750
275,-1984,-8194
276,8143,2116
277,-7029,3059
278,7155,4025
279,827,-4774
280,1586,-7654
281,-7087,-1323
282,307,-9845
283,-3786,-6174
284,433,1068
285,3140,-6094
286,-137,3724
287,7569,7282
288,-4977,900
289,7691,635
290,-7061,-1821
291,1608,-7361
292,-4055,-934
293,7480,-8674
294,-3013,-1665
295,2670,-3359
296,-6423,-7376
297,4468,-3866
298,-6299,2035
299,2610,-5438
300,2172,-7165
301,8546,-1122
302,-4301,5851
303,-7434,7327
304,-2104,-2489
305,-4328,-6737
306,-8465,-2733
307,-9413,5049
308,3995,-6613
309,-8034,-6557
310,-9585,8532
311,8628,-9116
312,-5804,-9126
313,-9664,2302
314,1079,-2207
315,3550,-9244
316,7841,-1232
317,-832,1884
318,-673,586
319,-2963,9644
320,-8912,9184
321,-521,-5811
322,-2449,-7431
323,3526,-4959
324,-4261,-1236
325,8690,-4506
326,9671,-8427
327,3345,4411
328,-1563,-8468
329,3339,1449
330,-7897,-6139
331,-4071,-1277
332,2314,7729
333,-1181,-9589
334,-8323,-3514
335,223,1048
336,3892,-1216
337,-9927,-7413
338,2932,8863
339,942,-1138
340,-4724,-5244
341,-9187,2723
342,-4352,-3481
343,1224,9997
344,1777,3120
345,651,-2580
346,-7590,-8829
347,-1027,8581
348,-5894,-232
349,1868,-5804
350,-3107,-7686
351,-593,3044
352,-5355,-4539
353,-6291,-3114
354,-7884,-3521
355,2560,5318
356,-1848,9255
357,-478,8581
358,-4102,8624
359,-6065,1160
360,-8141,-773
361,-2256,9308
362,1399,-7973
363,-6656,3908
364,-5513,-8723
365,-5118,-718
366,8221,1526
367,-7854,2885
368,6790,2407
369,7464,-6087
370,-279,1539
371,-5757,8326
372,-244,-4201
373,-4352,-9830
374,-6441,-5364
375,8194,-777
376,-383,-5984
377,5421,98
378,-2739,-6061
379,9438,8237
380,6462,2452
381,5281,1595
382,-374,-7568
383,2186,-6913
384,-6234,-7023
385,-8313,-4503
386,-5711,1602
387,2451,-516
388,446,-6797
389,2330,-7632
390,-3090,262
391,-2805,-8938
392,-7063,-5486
393,166,899
394,-1670,-3712
395,3685,-1905
396,7866,-5392
397,-3930,-9727
398,3277,-1484
399,-3567,-2002
400,-8399,-8545
401,-9620,152
402,-56,347
403,8141,-346
404,1634,-659
405,-5263,-3689
406,6952,-1778
407,-6819,-5926
408,675,-3618
409,-7132,-329
410,-9383,-6987
411,-9568,-4848
412,-471,199
413,-4009,2141
414,8634,-3589
415,-6985,2678
416,935,-6477
417,-2076,-9072
418,3522,94
419,-8797,-6431
420,918,5466
421,-565,-7250
422,-884,-9758
423,7562,1415
424,6669,746
425,-2390,-1459
426,7206,5663
427,-4980,7325
428,-6041,6176
429,-4713,3428
430,-5883,-216
431,-5188,1020
432,-5773,-4015
433,655,-9132
434,-6805,4163
435,-1427,-7495
436,5820,-2667
437,-8856,-3757
438,-8438,-726
439,-5690,-177
440,-238,9212
441,3603,-3079
442,2343,3737
443,7887,-9834
444,4696,-2565
445,-4105,-2969
446,-2625,4351
447,-3873,-8145
448,-5927,-5170
449,-3769,-6272
450,-9859,-1131
451,-7448,-6014
452,-1682,-8231
453,-2410,9690
454,9607,-7500
455,2478,7482
456,-3915,5894
457,5399,-5649
458,8919,1751
459,-9191,1725
460,-1098,5249
461,-7719,7816
462,-9147,-2160
463,-9324,7559
464,-2856,-9222
465,444,8992
466,3647,435
467,-9888,-7231
468,-9727,5762
469,-1470,-7986
470,-3354,-1991
471,-5406,1941
472,707,-9660
473,1311,3970
474,-4987,-4704
475,-4902,-587
476,-7330,1339
477,-7425,5275
478,-8577,7182
479,-6310,317
480,-7475,6148
481,1815,-5475
482,-8477,9705
483,-6352,8523
484,-2022,5714
485,-437,-8055
486,-2413,-9958
487,-2204,-9260
488,-5249,-2769
489,4466,-4419
490,-936,3845
491,6860,-4780
492,-4263,-5320
493,2586,-2792
494,9374,-7871
495,3107,2137
496,-1740,6904
497,-7152,9638
498,-3333,-1703
499,-5440,-7080
500,1856,2765
501,6902,-3955
502,-2135,5575
503,-2667,-3309
504,1248,-5712
505,-1925,-3255
506,-2582,2533
507,-9936,-1098
508,2243,-4144
509,-7663,1575
510,7806,962
511,728,-5427
512,-1041,-8541
513,-9419,-1497
514,-1816,-1619
515,-1912,-1036
516,-1661,9970
517,-5959,-7119
518,-2747,-6074
519,-2672,1419
520,-6945,-6550
521,-5479,8465
522,-4117,-7198
523,-4587,140
524,-7225,-4511
525,-310,6290
526,-2569,-3457
527,3156,5766
528,1518,8639
529,8194,8339
530,7893,-1513
531,-8760,-8284
532,1300,2063
533,6988,-2914
534,-6852,1300
535,-9005,-2211
536,-3643,3812
537,-6888,-4762
538,1960,2230
539,-9159,-5930
540,-4963,-6139
541,-7861,-5488
542,-5430,-7321
543,8996,-3925
544,-6022,-3847
545,194,-3888
546,-1374,-363
547,958,-6620
548,-2408,9883
549,-5554,-6670
550,-900,-2894
551,9074,-916
552,-6803,1389
553,2634,9756
554,-6122,5667
555,5234,-2142
556,-5346,1766
557,-2838,-8639
558,4595,9877
559,8825,2487
560,-558,1962
561,-8285,-11
562,-2757,8594
563,-858,7143
564,-6271,-2583
565,-6080,56
566,4941,-6665
567,2259,4547
568,-2018,9397
569,2884,9366
570,8722,-5386
571,-7576,-5723
572,-4659,-5261
573,7420,4714
574,7075,-9777
575,-3663,-1089
576,-6553,-6054
577,-3900,-4382
578,-2282,5719
579,-2172,-1226
580,-6204,-6114
581,2433,-8405
582,-4667,-3536
583,-7047,1583
584,-6725,8093
585,8605,-3966
586,-709,-7524
587,5245,-5975
588,-4324,6801
589,-8708,-9040
590,2542,5006
591,-6278,7536
592,-336,2804
593,-9968,-8817
594,-4475,8231
595,6161,-9304
596,6685,9290
597,-9333,-3792
598,-8484,1882
599,-9597,-2947
600,-3865,-3165
601,2531,-9698
602,-5242,-1055
603,-7422,-3478
604,-5670,164
605,-4568,-9584
606,-3024,-6629
607,-2363,-6693
608,-7908,-7738
609,-9218,376
610,4109,-8476
611,-3239,2037
612,5189,-1938
613,-29,-6312
614,-1519,-7295
615,703,1050
616,-5212,-1325
617,1854,-6639
618,3958,9551
619,-766,-4938
620,-1221,-7945
621,-116,6226
622,-2549,-1110
623,3369,-9153
624,700,-5911
625,-2221,8697
626,2033,-2641
627,2,-5958
628,-6947,-3199
629,-2184,-3693
630,792,-9006
631,521,-7135
632,-7471,-1828
633,-3208,2023
634,-5625,5155
635,2320,1883
636,-1223,4751
637,937,1785
638,1920,6805
639,1144,7426
640,4217,-1113
641,-9706,892
642,-6116,7719
643,8333,7804
644,8199,-7121
645,-6117,1332
646,-9983,-3682
647,-1365,7033
648,801,-7074
649,5895,349
650,1380,3126
651,-1320,6636
652,5292,-2023
653,-4627,3932
654,-5022,7725
655,-5072,1980
656,-7065,1519
657,-9323,-5276
658,9646,2112
659,-2207,6315
660,5704,-2980
661,-8120,9274
662,-5606,2404
663,-3594,1492
664,-8563,-3717
665,2272,-1325
666,2811,6168
667,720,-6014
668,-5655,-9592
669,-5099,-8645
670,6419,-4116
671,-2693,-2130
672,-3280,-4843
673,-9053,5209
674,-6947,3514
675,-2131,-4699
676,6271,-3028
677,8932,-7031
678,1834,4522
679,-3988,-5277
680,-1916,2126
681,-138,-6377
682,-4416,-4268
683,-2679,-1339
684,1436,-3177
685,-2588,2618
686,9959,-7404
687,2115,6824
688,4659,613
689,-2683,-3738
690,-7081,-3950
691,6455,-525
692,-5356,6624
693,92,257
694,-7728,883
695,-5790,1189
696,4296,-533
697,4032,7906
698,-7857,-8782
699,-2381,3958
700,-4413,-605
701,4657,-5857
702,3617,8166
703,-4300,-937
704,-1465,-999
705,-5917,4419
706,-4545,8727
707,-604,168
708,-7784,-6468
709,-3843,1761
710,8839,3704
711,7893,-9570
712,-1466,-8907
713,-975,2052
714,-2247,-5731
715,-3491,2400
716,-3176,7964
717,7103,43
718,-1684,1699
719,-9445,1143
720,-7801,-2249
721,-4125,-4425
722,-7906,3990
723,-6108,5408
724,329,2279
725,7398,407
726,9160,9687
727,1981,-7363
728,1549,-9676
729,8052,4502
730,7022,4433
731,-833,3947
732,2636,9807
733,-5392,-8466
734,2483,2636
735,8614,-6878
736,-2946,-763
737,-9017,-5393
738,-3555,4999
739,6899,-379
740,348,1545
741,1981,-8646
742,-5184,-9658
743,-6573,-4878
744,-9728,-5739
745,-8081,8060
746,-8767,-247
747,-1,-1515
748,-9077,1558
749,-8615,-967
750,7568,-5706
751,-4792,-3777
752,-607,-1406
753,5197,-3732
754,6492,1987
755,-4102,-8462
756,-8621,-5459
757,-2151,9101
758,-8342,-6390
759,-2820,-2541
760,-7289,-4603
761,-5564,-7457
762,8601,640
763,-9683,1164
764,7442,-5036
765,1912,5225
766,-8880,-7640
767,19,6396
768,-6912,5216
769,-5905,-5042
770,-6726,-7691
771,-3356,-5661
772,-2244,-8903
773,-133,-4692
774,-3571,-7205
775,-3460,1982
776,799,3895
777,-5695,7839
778,595,2359
779,1016,9820
780,6012,-9742
781,-6617,-7587
782,-4974,-5529
783,9531,-4607
784,8046,559
785,-8000,2338
786,-4919,-4051
787,-7930,-5045
788,-4353,1664
789,2663,-9187
790,-1899,2014
791,5979,2953
792,-3072,-2237
793,8963,8181
794,-2153,924
795,5376,148
796,9586,-5306
797,-891,-7761
798,-1036,-408
799,4241,-4882
800,6748,-1989
801,-4320,-5718
802,8701,3931
803,8344,244
804,1172,-6488
805,-8709,-8606
806,8503,9729
807,-4161,-8428
808,-4916,-7015
809,5005,-6068
810,7180,-4119
811,-8054,2364
812,-1427,7528
813,9261,2651
814,7188,8447
815,722,-5404
816,-271,-3761
817,7474,-2461
818,-1541,-7267
819,-5257,1361
820,3768,1019
821,-3463,4250
822,-7458,6308
823,-1808,7551
824,3867,-5310
825,-4697,82
826,6923,1214
827,-8885,-9976
828,-4613,-74
829,6640,4851
830,-2885,1185
831,-8018,2919
832,6819,-9948
833,-2170,7619
834,-3766,-3567
835,-4318,-1445
836,1458,-244
837,-2183,2280
838,-2482,-7549
839,-9356,-4964
840,7124,8650
841,-3929,6505
842,-7383,-9068
843,-3213,-7858
844,-182,-2041
845,671,-8326
846,-2638,1213
847,-7428,-1050
848,1154,-1464
849,3903,9377
850,521,-7265
851,-1185,-5425
852,-5914,4016
853,-3015,212
854,-8798,3574
855,-4144,-4426
856,6274,-6
857,938,9377
858,-815,-4605
859,-8928,4927
860,-3045,-3763
861,2060,1579
862,559,-4948
863,7848,-6632
864,-1158,5091
865,7910,8565
866,-4521,957
867,7889,-5124
868,6790,-5272
869,-4807,1515
870,-5428,9176
871,-4902,-6309
872,-7418,-5581
873,-2850,-2777
874,3340,-3202
875,9798,-4294
876,-1006,3466
877,-2352,3719
878,-1830,-6673
879,-151,-3150
880,-7242,687
881,-2442,-1
882,-1087,-4578
883,3383,6409
884,-4337,-3182
885,7946,2003
886,-2751,4215
887,9322,-8504
888,-6744,1055
889,-6587,-4901
890,-3652,-8435
891,9603,-3717
892,-2860,-3971
893,-7754,-1305
894,1906,9259
895,-8079,-6342
896,-6600,9384
897,-937,941
898,-2015,-3583
899,1085,-5014
900,754,9033
901,5890,-7672
902,-3555,1793
903,-9008,690
904,-1092,49
905,7964,6380
906,2122,-8128
907,8809,-9902
908,-1323,3149
909,-2540,-4305
910,1016,9269
911,-7955,-3901
912,2010,8134
913,-9678,-847
914,-2822,1553
915,-6536,-8192
916,2499,4363
917,-4136,1805
918,6496,-4151
919,2746,-4706
920,-7767,-797
921,-3250,-9241
922,-3548,-9355
923,2302,7278
924,-9419,6051
925,-9121,2463
926,1429,-354
927,2580,-2354
928,467,-6530
929,-7098,601
930,1834,-9301
931,3671,9028
932,115,6102
933,8997,-7394
934,-4743,-7680
935,6588,-3989
936,6528,-7221
937,-492,547
938,-1434,-9718
939,-1340,-7572
940,-2873,-411
941,2159,-6949
942,-2591,-9827
943,-9402,-2566
944,3778,-4029
945,-4699,3274
946,-8278,-49
947,-8169,-5024
948,-11,461
949,-6290,-1005
950,-40,1395
951,6291,-5194
952,7013,9398
953,-6925,-309
954,3259,-4435
955,-8399,-6443
956,1896,-4909
957,9013,-9204
958,-7223,346
959,5376,-8224
960,3712,-6089
961,5026,2277
962,-750,-6029
963,7484,-1300
964,-9451,-2231
965,-9712,7650
966,-3255,-1673
967,-7700,-4909
968,-63,-9741
969,5054,9239
970,-2710,-2485
971,844,-8662
972,-4826,8129
973,696,-4070
974,927,-537
975,-1200,1355
976,-564,4764
977,-4138,-7496
978,-80,338
979,1546,6095
980,-4301,-8854
981,8316,-4370
982,-2150,8538
983,-3971,-5381
984,2599,9325
985,5644,1935
986,-5380,-9412
987,-5845,3651
988,-8451,-4165
989,1650,-1460
990,-8430,-9715
991,-616,-9350
992,-92,8090
993,-2111,-9083
994,-8882,-7617
995,-9174,-5725
996,-4368,521
997,-4792,-3260
998,-6082,-7581
999,-9353,341
1000,1893,-109
1001,-5773,5645
1002,-1731,-8500
1003,-8947,5433
1004,4007,2629
1005,-4950,9893
1006,-9760,6641
1007,-9246,8491
1008,5565,-1178
1009,-9339,6902
1010,-1342,1371
1011,9082,1174
1012,-8794,-6741
1013,-8960,-5724
1014,-1242,6437
1015,3969,-5196
1016,9473,4948
1017,-8475,-9241
1018,1867,8782
1019,358,5947
1020,-6271,-5120
1021,-15,-9745
1022,-3103,-3640
1023,2229,-7203
1024,2252,1393
1025,3007,1425
1026,-4119,553
1027,-1024,-806
1028,-9554,3255
1029,-3172,2965
1030,3167,-4756
1031,1614,9367
1032,-2830,-1414
1033,-95,-1614
1034,2654,-1858
1035,7456,378
1036,-6644,-5082
1037,494,-3487
1038,-1548,-1115
1039,-7798,-1204
1040,-8871,1490
1041,-2932,-5869
1042,-6062,4269
1043,-9101,-8038
1044,-4759,-9507
1045,1322,-7731
1046,1046,-8360
1047,3438,-2869
1048,-9355,3930
1049,7025,8046
1050,1860,1542
1051,8426,6303
1052,7043,-2373
1053,-3506,-8262
1054,-8789,-7264
1055,-5373,-1923
1056,5210,-1427
1057,9863,2468
1058,9271,-9304
1059,-9604,818
1060,-2145,5309
1061,-3833,-6995
1062,-5493,2703
1063,-2904,-2961
1064,-8456,8825
1065,-2996,-5354
1066,-862,8716
1067,-1019,-6966
1068,-3767,-2796
1069,-2301,302
1070,992,-5827
1071,-6764,1102
1072,-5233,7172
1073,843,-1008
1074,7982,2222
1075,-4811,-8115
1076,3407,-1082
1077,7659,1216
1078,-9108,3046
1079,-3825,-4854
1080,-1554,-4708
1081,-517,1841
1082,-8815,5630
1083,2489,7895
1084,-7004,-1028
1085,4214,-4322
1086,1859,2617
1087,-2363,-3078
1088,-7084,684
1089,-7146,-8017
1090,-8363,-5400
1091,-3637,-8356
1092,1454,-6807
1093,5665,-4120
1094,8112,-2311
1095,4773,-3847
1096,-8634,6657
1097,-6283,-4176
1098,5969,-2712
1099,-4303,5963
1100,782,88
1101,-516,-9800
1102,-6095,-2024
1103,9312,-144
1104,1104,-3481
1105,131,-9972
1106,1884,-623
1107,1932,-5528
1108,-5431,-6530
1109,3087,1363
1110,-2577,202
1111,-1217,7851
1112,-302,9780
1113,-2590,3366
1114,980,-92
1115,-335,-2962
1116,-5974,-5806
1117,2373,-8187
1118,-9881,-8764
1119,-6415,-1730
1120,-8846,8941
1121,6367,-7723
1122,-9954,-9763
1123,-8589,-9629
1124,-3384,-1250
1125,5808,5016
1126,7846,-5872
1127,-281,9813
1128,1619,1629
1129,-1397,-1509
1130,-5038,5896
1131,8263,-1606
1132,-770,-5896
1133,-4763,2279
1134,-5596,-600
1135,-1464,-8895
1136,-4035,2402
1137,-9746,-8229
1138,-678,-2189
1139,-4873,-4070
1140,1254,-5971
1141,1131,-8416
1142,-3073,-3824
1143,2465,-3117
1144,9628,-8268
1145,240,-3840
1146,-5951,827
1147,-7082,-2110
1148,4829,-437
1149,-2677,5500
1150,3377,-2410
1151,-4907,1720
1152,305,-472
1153,3318,4313
1154,-8109,5423
1155,-2504,-9619
1156,1924,9930
1157,1677,-7997
1158,-2194,584
1159,2443,-2820
1160,3881,477
1161,7952,4504
1162,-4343,-314
1163,5394,-862
1164,7599,-8939
1165,-4607,-9892
1166,-8998,-9646
1167,-368,-2377
1168,-5305,-6829
1169,-8796,-5436
1170,-4198,-956
1171,-543,-6222
1172,6514,9978
1173,-5671,-6373
1174,-1548,9118
1175,-3694,-3938
1176,-3693,4522
1177,2256,-7075
1178,-2257,-6359
1179,-3997,2357
1180,-6839,-5375
1181,-7021,-8810
1182,-2302,2666
1183,-2386,-2923
1184,3104,-860
1185,5321,1597
1186,-9734,552
1187,-9778,-6506
1188,-8034,265
1189,-8178,-9840
1190,5952,4223
1191,6472,-39
1192,2503,5229
1193,5375,-6646
1194,-9012,3195
1195,-4189,-5354
1196,4290,-8892
1197,-9376,7218
1198,8403,6427
1199,297,-9093
1200,-6377,-4333
1201,-1087,-696
1202,-9389,-8586
1203,541,3815
1204,-1194,-9284
1205,9509,-2107
1206,-664,-2174
1207,6079,6102
1208,-686,-1481
1209,-776,1319
1210,-1191,2430
1211,974,-4830
1212,4889,2492
1213,-5397,4532
1214,-4507,-3652
1215,2577,5134
1216,-5869,4683
1217,2065,2341
1218,4602,-5966
1219,9900,8100
1220,-5713,-3148
1221,85,-3328
1222,-9995,201
1223,-5351,-5327
1224,-3432,-1749
1225,7446,5562
1226,-2528,-1532
1227,-420,-2448
1228,-5389,-6405
1229,1836,-2782
1230,8855,5184
1231,9812,-8764
1232,3613,212
1233,-7562,-4649
1234,-317,1013
1235,2097,-1797
1236,2596,1847
1237,-5727,-5892
1238,1668,-9881
1239,3555,-5137
1240,1005,4709
1241,145,-2004
1242,-2433,-5128
1243,-6497,861
1244,-2266,3422
1245,9977,-7469
1246,-9265,-6067
1247,-3875,5748
1248,-7239,-9632
1249,-1861,-1178
1250,9598,7863
1251,-5693,7058
1252,-8810,-8935
1253,-9013,-5585
1254,2518,-2391
1255,-466,-9961
1256,4729,724
1257,-4563,1207
1258,-1074,169
1259,-7672,-2891
1260,-4452,7591
1261,249,-7593
1262,1884,-180
1263,3165,2748
1264,-8613,-7465
1265,-1724,3549
1266,-1364,-3553
1267,-8758,-1127
1268,6743,1211
1269,-4304,4109
1270,185,-780
1271,-1842,-6757
1272,-8550,-6368
1273,3024,9599
1274,-6082,-7075
1275,435,-6022
1276,-9454,2088
1277,-9299,1035
1278,5780,-9648
1279,-5740,7483
1280,5407,-9666
1281,-3047,-5157
1282,9690,-7145
1283,-9922,-5996
1284,1057,-7627
1285,9763,-497
1286,8507,-1612
1287,-2000,-7428
1288,-4894,4673
1289,524,-4717
1290,-3556,-5642
1291,-5857,9340
1292,-6959,-556
1293,-9995,429
1294,8277,-6064
1295,5786,1440
1296,1724,-1791
1297,-8037,-7248
1298,-181,-4430
1299,2533,-9773
1300,-7993,-7252
1301,1103,4550
1302,4437,6738
1303,-4724,-8715
1304,7659,-4280
1305,7141,1228
1306,-762,-12
1307,-7888,-4802
1308,-4190,6065
1309,-3842,-7972
1310,8420,3090
1311,3704,-2400
1312,-9931,-654
1313,-1414,-5754
1314,-2729,-8234
1315,-2922,1395
1316,-4931,8980
1317,-1719,-613
1318,834,-5807
1319,160,-4924
1320,1982,-283
1321,4958,8762
1322,-1801,-595
1323,4018,1942
1324,-8478,-3041
1325,-7611,2137
1326,876,1059
1327,-9335,8097
1328,-8533,1782
1329,-9968,1763
1330,-5042,-2038
1331,-3198,-5837
1332,-4200,-231
1333,-28,3155
1334,-6203,-7054
1335,2801,-7352
1336,-592,-4074
1337,-8697,-6560
1338,-7050,1398
1339,7194,-8569
1340,8718,1122
1341,-4993,-3148
1342,-6043,-1719
1343,-28,-2241
1344,-244,-8940
1345,5551,9419
1346,8293,-1217
1347,2071,1469
1348,-756,-7157
1349,1635,5768
1350,-6563,3097
1351,-3402,6191
1352,-5559,3782
1353,3772,6282
1354,-2584,2982
1355,-2468,7987
1356,243,-5321
1357,9844,6446
1358,-2815,-6204
1359,-3973,976
1360,1685,-4943
1361,6278,6822
1362,-5552,-9609
1363,1588,-17
1364,-9556,-4232
1365,-6187,-332
1366,5289,-659
1367,9601,-5453
1368,-1793,-5311
1369,1878,-7204
1370,-4872,-6363
1371,-2074,-2968
1372,-1398,4911
1373,8659,9474
1374,-2383,1814
1375,-9174,2181
1376,-3146,-7629
1377,2996,-713
1378,-8926,-1336
1379,-2024,1155
1380,-2783,-4550
1381,2217,-6251
1382,2954,-7982
1383,322,-8286
1384,-359,5479
1385,7982,-6552
1386,1684,4291
1387,-912,-7366
1388,-7185,2379
1389,-9702,-904
1390,-17,1271
1391,-2501,-6368
1392,763,-7131
1393,-3714,-6656
1394,2352,1118
1395,-4193,-5418
1396,9531,-2961
1397,-5089,-3878
1398,-7797,-7827
1399,-8510,-6268
1400,-9446,-1310
1401,-8973,-739
1402,-9976,-4744
1403,-5706,-6928
1404,-6609,-2736
1405,-9737,9953
1406,8749,2107
1407,8255,2631
1408,-9651,-9712
1409,3979,2253
1410,-5744,8433
1411,-5899,-6020
1412,-2738,-3779
1413,-5466,-9070
1414,2811,3271
1415,-3014,-408
1416,-58,-3517
1417,1426,-5359
1418,-7472,6016
1419,-7947,4212
1420,-2511,-151
1421,-8573,4896
1422,7707,-4878
1423,-1282,871
1424,255,4950
1425,3752,-2721
1426,-509,4734
1427,8104,-5911
1428,-1144,-9355
1429,-1820,22
1430,-1919,9378
1431,8996,-9634
1432,8647,-8449
1433,-153,-1643
1434,-9580,-8890
1435,-5841,-633
1436,-8914,5304
1437,-9404,2180
1438,-8113,-6480
1439,346,4128
1440,-6137,-5682
1441,-9317,1052
1442,5772,-1183
1443,-9407,-6451
1444,-4085,-5785
1445,766,5724
1446,-2083,1280
1447,-696,7214
1448,-7698,4622
1449,-2455,-5489
1450,2372,-7241
1451,5560,-3757
1452,8412,-7275
1453,-965,-2085
1454,2960,-782
1455,7009,-8787
1456,-521,-8645
1457,9869,6199
1458,-1486,7796
1459,4981,2367
1460,4300,-1379
1461,129,1672
1462,1041,4475
1463,-3411,-2063
1464,-7383,-7119
1465,2490,2488
1466,-6142,-2166
1467,5103,-5091
1468,-9494,-9272
1469,1499,6524
1470,-2032,-5797
1471,8569,242
1472,1185,527
1473,-1678,-5585
1474,-9427,9398
1475,-7748,-3742
1476,-8139,1847
1477,-9701,-7416
1478,-9764,-7768
1479,-6470,-3278
1480,-8790,-6102
1481,-461,-6320
1482,-1817,205
1483,-5746,-8007
1484,-461,-2306
1485,-3095,3497
1486,2463,-7485
1487,-1166,-9547
1488,-7035,4370
1489,-5798,-8861
1490,-7257,-6252
1491,-1882,-1038
1492,-5553,7566
1493,-3650,811
1494,7344,-4054
1495,-3807,-4197
1496,362,2460
1497,7873,-6804
1498,2195,3939
1499,-8276,-9283
1500,-2419,-1013
1501,951,326
1502,-412,608
