index,x,y,z
169,-152,-704,-13
170,386,-35,-261
171,-292,748,428
172,794,-665,658
173,900,859,550
174,-895,574,566
175,-243,-297,762
176,509,616,-243
177,-73,-36,878
178,871,-23,-632
179,-571,772,894
180,-552,105,669
181,337,-639,-642
182,-137,-125,70
183,-497,-506,620
184,-512,-675,-502
185,104,-483,281
186,-643,243,747
187,862,870,-505
188,-543,-425,-552
189,-649,860,-187
190,-887,355,-833
191,389,-696,137
192,858,628,-221
193,409,-529,765
194,-346,447,683
195,-323,-962,212
196,-321,159,-117
197,428,635,383
198,-1,-477,49
199,-119,-263,-616
200,-420,-186,901
201,-309,432,-805
202,-525,268,746
203,-749,-503,-766
204,274,-876,272
205,-348,-294,626
206,-492,580,570
207,-679,579,-528
208,-432,-48,-530
209,559,439,814
210,-792,783,-105
211,-611,-236,577
212,628,818,-497
213,328,229,-490
214,913,691,-738
215,-370,476,-413
216,817,52,-233
217,813,-671,438
218,-690,62,-180
219,593,130,771
220,556,249,-254
221,-179,32,259
222,463,0,476
223,727,-926,20
224,863,-453,-249
225,722,-551,551
226,664,688,-295
227,-402,-918,-463
228,-679,-245,-510
229,884,-734,420
230,346,-256,-200
231,-274,92,520
232,-12,-248,-826
233,-919,-870,-834
234,837,-344,938
235,-909,-66,-239
236,906,317,525
237,669,540,350
238,28,750,-707
239,-476,-196,810
240,-652,-132,-935
241,686,281,735
242,-263,585,390
243,-148,-821,346
244,-866,174,635
245,-72,66,-926
246,-690,41,399
247,-4,903,555
248,-838,930,898
249,939,-939,-94
250,594,769,300
251,1,328,716
252,-747,-814,449
253,-281,788,8
254,-491,376,-500
255,328,-310,-389
256,-697,54,-828
257,940,-589,-266
258,-436,741,992
259,-213,-17,352
260,116,-419,-147
261,983,-505,-486
262,337,204,824
263,-125,-469,-559
264,-480,622,-628
265,871,650,285
266,380,-337,288
267,876,748,374
268,251,582,694
269,446,-33,-219
270,320,-60,-550
271,135,-382,-537
272,-826,76,551
273,537,-351,605
274,-370,-956,-705
275,11,796,-835
276,819,-51,-68
277,-459,-811,-618
278,-692,-880,452
279,90,-495,149
280,-212,-1,164
281,-61,617,640
282,870,809,-870
283,-124,-133,-766
284,352,-767,963
285,-528,257,380
286,-770,-713,870
287,713,-203,366
288,808,452,-938
289,736,-99,-973
290,-588,789,140
291,-447,-893,-149
292,-933,25,-967
293,389,-289,238
294,-326,-329,-434
295,-990,-898,215
296,-116,616,495
297,-60,-813,694
298,-436,262,-688
299,583,-736,-535
300,-956,-598,777
301,293,272,-448
302,-663,-871,-588
303,-924,-892,-6
304,862,851,-280
305,-526,586,-788
306,-134,-287,536
307,303,603,-303
308,583,-799,48
309,708,566,-91
310,358,313,349
311,183,-732,617
312,-79,839,-443
313,419,893,-420
314,5,797,-761
315,-131,922,549
316,495,-7,-238
317,-876,779,278
318,83,-977,101
319,610,-573,-616
320,-924,-347,68
321,832,162,-15
322,-286,-805,-92
323,872,-452,468
324,938,812,-405
325,-628,-299,452
326,-652,956,-777
327,-86,-377,176
328,751,-921,-445
329,624,-469,345
330,-108,267,966
331,-147,-405,700
332,-589,-605,41
333,781,165,312
334,-823,840,-565
335,61,-429,-359
336,-887,-1,323
337,-930,937,-489
338,-236,972,524
339,-43,-973,462
340,-982,445,-499
341,-399,80,243
342,-763,267,152
343,508,-570,909
344,584,562,-899
345,399,191,806
346,-385,97,-42
347,579,147,-315
348,-16,442,344
349,835,71,-30
350,-522,201,90
351,24,-121,-508
352,167,928,-887
353,-653,-884,-66
354,-134,382,-298
355,-990,-79,-791
356,-314,-943,226
357,-16,-541,-710
358,-711,-650,835
359,154,-503,-852
360,245,-63,-793
361,-958,243,-5
362,732,-582,-937
363,-864,-486,999
364,-46,761,-535
365,442,-352,-531
366,796,152,494
367,-54,148,-473
368,933,-740,453
369,291,-422,338
370,-278,-415,-905
371,765,-297,528
372,502,692,-476
373,290,-656,-617
374,378,-670,44
375,-405,-226,611
376,77,916,251
377,-682,-517,-235
378,-236,577,364
379,383,-759,175
380,-869,-868,585
381,-145,335,-514
382,-393,-832,-171
383,-621,-901,-577
384,778,474,37
385,-875,-36,137
386,-269,-184,-781
387,706,-384,883
388,199,-46,-665
389,-340,-542,386
390,846,-391,871
391,898,-466,-545
392,384,-624,372
393,893,-272,-719
394,279,-332,80
395,-659,469,-117
396,190,-913,923
397,-62,-176,198
398,791,739,707
399,208,-156,678
400,-349,-599,-515
401,404,329,835
402,409,186,36
403,-966,838,636
404,527,95,611
405,-656,457,638
406,-183,-667,473
407,490,-730,-700
408,171,-641,-474
409,-690,-224,-763
410,834,-501,814
411,570,-593,98
412,997,987,-143
413,711,-962,-244
414,-337,-988,278
415,231,-375,-903
416,164,-423,268
417,255,-139,966
418,-128,947,-308
419,-163,767,770
420,190,610,-410
421,603,341,156
422,958,-126,-785
423,-315,924,-812
424,660,713,94
425,978,335,-960
426,-514,-875,-832
427,-55,-304,-935
428,659,309,506
429,-213,892,675
430,-395,-303,-842
431,400,661,569
432,491,-861,-411
433,-840,-756,415
434,-488,960,-267
435,571,866,-34
436,-1000,396,804
437,-318,445,875
438,-192,434,-345
439,-470,232,-487
440,-167,212,463
441,-280,-577,-767
442,-981,495,275
443,845,871,-435
444,-149,-130,41
445,153,945,-150
446,785,-396,59
447,915,954,836
448,-349,-232,-417
449,-713,562,136
450,-963,25,685
451,827,744,609
452,180,-926,829
453,710,-758,-401
454,364,0,575
455,40,128,-817
456,-477,-956,52
457,-549,58,-633
458,813,-214,-380
459,-592,627,90
460,-542,-54,-660
461,-496,-474,256
462,-934,270,-276
463,-674,-988,95
464,-798,843,-235
465,416,-657,-924
466,-595,264,-940
467,-345,-997,332
468,-480,-374,-283
469,834,-76,787
470,-427,699,236
471,785,496,-869
472,705,-976,314
473,-734,-466,395
474,-271,223,690
475,918,33,-421
476,777,220,681
477,-69,-883,-696
478,73,-393,-109
479,-170,103,-374
480,961,-97,-679
481,-721,-315,742
482,863,234,10
483,981,180,-911
484,19,-896,286
485,73,-703,-164
486,717,-846,232
487,-142,-845,641
488,-942,-521,341
489,49,-338,700
490,795,-490,63
491,512,460,-672
492,-527,-635,-978
493,314,-438,-946
494,323,501,-9
495,399,-990,-676
496,-369,436,749
497,-694,-83,802
498,-960,711,-114
499,456,566,-389
500,855,-906,-379
501,-533,97,-199
502,-820,493,305
503,372,-419,-657
504,-451,-245,114
505,-908,121,-614
506,-743,-185,-477
507,-571,86,-699
508,363,431,-711
509,-339,260,289
510,999,204,-689
511,-622,-36,-420
512,-370,-379,678
513,-104,-812,-26
514,308,-591,-177
515,-64,-822,361
516,639,-420,-526
517,-693,-305,-929
518,-663,-924,807
519,-96,-638,125
520,544,-139,-649
521,973,129,857
522,-634,-636,913
523,-731,-983,-806
524,690,449,-741
525,64,-477,914
526,750,755,-473
527,185,568,-772
528,900,580,-228
529,446,-566,688
530,-372,-374,719
531,-609,528,-19
532,-22,-554,-238
533,342,377,-522
534,311,397,918
535,439,973,-36
536,-278,224,-708
537,641,298,322
538,654,875,903
539,-226,81,-88
540,-657,152,-764
541,931,-999,-771
542,604,-796,-114
543,4,285,-190
544,30,-46,-765
545,354,86,470
546,-912,474,830
547,-617,-119,736
548,-746,-92,-941
549,-398,-788,928
550,-387,-254,816
551,527,-598,-121
552,667,-896,-931
553,-172,-731,471
554,269,889,-728
555,343,404,-683
556,-301,-40,-463
557,251,592,334
558,96,-627,570
559,347,-363,299
560,971,761,26
561,-708,43,689
562,-722,481,709
563,488,-570,838
564,-566,460,455
565,-700,812,-363
566,345,603,87
567,609,27,-707
568,579,678,186
569,185,196,-448
570,-489,-750,-383
571,-63,-343,-857
572,371,-698,-635
573,-794,281,855
574,866,143,-892
575,-638,83,-737
576,-93,-226,-818
577,79,668,647
578,736,484,-224
579,-207,-785,-949
580,82,-750,994
581,214,352,854
582,-715,-606,497
583,-581,375,865
584,725,208,139
585,885,310,-213
586,-416,-717,166
587,237,-468,225
588,-411,675,518
589,-466,870,293
590,-370,512,-423
591,438,943,-279
592,125,-685,-151
593,275,-861,-581
594,612,-821,177
595,-301,704,-17
596,-832,484,666
597,-633,405,197
598,916,-420,-704
599,542,313,21
600,-332,-836,110
601,137,772,-620
602,729,-160,-753
603,-45,-358,-770
604,915,-870,-527
605,-841,592,-920
606,473,8,478
607,619,591,249
608,-483,948,-325
609,-836,246,531
610,-496,824,-438
611,-679,373,-311
612,-827,630,-594
613,242,115,-103
614,-855,-691,385
615,-12,281,-380
616,-79,-716,-201
617,177,695,-120
618,-282,-61,-28
619,439,909,-805
620,-510,728,-119
621,515,595,695
622,-476,566,-588
623,806,-540,-597
624,-204,-443,653
625,-26,-144,875
626,-913,847,200
627,-141,-256,492
628,199,996,266
629,-239,424,-349
630,606,-342,830
631,-148,-827,-373
632,-422,781,366
633,-320,147,-636
634,-334,-346,-980
635,896,324,280
636,-399,-909,199
637,-242,-220,-178
638,-372,-32,746
639,-888,870,-286
640,806,-629,458
641,605,730,713
642,42,-357,-520
643,841,-662,-815
644,5,805,-910
645,-120,162,48
646,349,-690,815
647,364,-588,-351
648,-153,-725,211
649,-193,-46,-143
650,178,-62,385
651,-946,-23,746
652,-49,607,305
653,-651,835,746
654,796,-294,-88
655,295,152,5
656,424,-652,154
657,-967,968,733
658,-689,336,627
659,302,258,118
660,517,-281,-150
661,-204,627,293
662,-618,-901,217
663,671,329,486
664,461,-82,426
665,676,139,-332
666,465,953,606
667,-778,-246,960
668,858,-992,917
669,-95,-856,174
670,396,-866,-555
671,329,-743,485
672,202,888,330
673,-57,812,-187
674,-145,-866,172
675,-112,351,-377
676,-510,52,-461
677,406,661,629
678,791,755,892
679,469,195,754
680,364,993,962
681,-706,563,462
682,743,-831,-973
683,-851,751,601
684,-934,688,-239
685,534,-955,-746
686,-296,-92,-514
687,290,457,-175
688,175,784,441
689,938,766,451
690,-307,-135,916
691,-626,-875,-517
692,569,-573,923
693,516,90,470
694,-195,518,840
695,-199,-423,306
696,-438,-473,-610
697,-936,348,-235
698,209,-978,815
699,90,240,548
700,-302,-762,-808
701,181,118,457
702,-230,-880,-447
703,-507,967,-159
704,-968,20,343
705,630,876,-488
706,467,-761,-238
707,-584,277,57
708,345,31,98
709,23,106,-544
710,-538,-454,-219
711,-297,-718,770
712,-294,-688,-934
713,899,-830,543
714,-454,-419,-3
715,6,981,-213
716,-966,866,530
717,-955,-396,151
718,-910,727,-954
719,-725,935,-187
720,-841,198,563
721,241,780,563
722,839,-712,-490
723,-921,-401,-368
724,164,530,237
725,422,-510,388
726,161,655,-665
727,-195,-755,281
728,891,-175,480
729,-997,777,-89
730,519,-950,774
731,889,-311,-644
732,-229,280,170
733,-96,-935,-895
734,565,-756,-944
735,-760,-53,378
736,614,-329,-608
737,-348,418,-706
738,-274,380,-366
739,-565,23,482
740,-616,341,120
741,-158,-298,-888
742,-863,18,-572
743,943,-527,311
744,-677,76,307
745,78,-144,-604
746,828,-991,-776
747,-139,-693,-685
748,960,611,-464
749,-643,-724,-235
750,-516,672,394
751,-858,-305,344
752,432,454,-355
753,-60,787,27
754,-74,126,-371
755,47,-419,238
756,-221,-840,516
757,78,-63,30
758,-271,955,857
759,-720,-740,-600
760,341,-883,-780
761,-844,-162,685
762,649,78,375
763,-605,-567,-68
764,-198,849,91
765,732,-763,702
766,-830,-164,66
767,299,384,-483
768,-240,824,-522
769,941,-12,-92
770,-511,767,409
771,647,843,-387
772,689,788,631
773,121,49,749
774,-463,-724,-73
775,-797,793,295
776,868,895,-495
777,-570,207,144
778,362,86,375
779,-139,-844,-834
780,-521,351,-60
781,41,581,-702
782,110,669,131
783,-278,-16,3
784,626,-449,-970
785,-663,815,-66
786,-880,979,-953
787,-647,-31,121
788,-64,-750,-812
789,-761,885,370
790,-868,84,70
791,-369,689,993
792,-193,-531,113
793,-902,705,-209
794,-301,-393,677
795,-731,-968,-363
796,398,-596,-253
797,634,-428,634
798,-17,-226,-627
799,-787,779,-423
800,-170,63,282
801,292,540,-558
802,-917,422,87
803,-884,-528,-202
804,-913,-55,-468
805,-316,389,-670
806,904,49,-414
807,-408,576,501
808,-666,-758,55
809,540,-159,-838
810,-970,-381,-172
811,-103,-807,-517
812,-944,-572,-8
813,-99,-846,888
814,290,-630,166
815,456,-878,-139
816,218,740,-222
817,660,695,-166
818,933,-404,-489
819,-536,-104,979
820,-210,-482,360
821,-851,534,740
822,-571,122,-423
823,99,960,-295
824,688,-1000,200
825,-751,464,-527
826,-954,-859,793
827,-954,395,-218
828,-275,116,-471
829,332,415,-405
830,897,828,595
831,-8,-473,-606
832,669,45,396
833,579,919,737
834,949,423,-892
835,474,-430,596
836,-723,158,975
837,-253,187,-671
838,475,-722,-854
839,-193,-282,764
840,449,312,-23
841,-252,261,301
842,-222,-548,-373
843,-301,387,-135
844,-642,417,251
845,404,529,-198
846,541,753,274
847,-1000,71,-658
848,634,-990,816
849,805,249,-944
850,151,18,-665
851,195,188,380
852,606,699,-741
853,-299,138,-462
854,-917,547,852
855,-497,394,-48
856,443,490,693
857,-535,530,-7
858,85,516,476
859,1,361,-954
860,299,67,922
861,989,-549,-264
862,-481,612,764
863,-58,192,675
864,-362,244,901
865,-588,-764,-603
866,932,248,620
867,-341,816,468
868,431,-552,742
869,112,-655,76
870,319,171,454
871,-224,570,818
872,-272,-304,778
873,-488,-628,-635
874,704,7,-403
875,-384,967,-175
876,-485,-560,892
877,604,904,-393
878,-915,-152,-14
879,-810,-580,-196
880,168,-966,388
881,-1,271,474
882,859,396,537
883,-534,922,-854
884,258,230,-720
885,688,-86,195
886,-999,-716,215
887,-132,280,626
888,814,-707,305
889,-336,-997,446
890,-183,260,-988
891,-349,519,-109
892,-610,5,360
893,764,-274,-859
894,-654,547,-246
895,224,-94,784
896,286,477,900
897,-84,-484,-470
898,-571,184,-24
899,733,315,-416
900,419,115,-284
901,418,342,250
902,-441,669,-793
903,-779,-629,173
904,-120,-566,663
905,-926,326,-926
906,969,-985,-428
907,453,603,-758
908,-264,-409,-7
909,713,-999,-722
910,868,-121,-880
911,539,622,30
912,-342,-686,799
913,915,280,623
914,-816,324,534
915,505,-564,547
916,859,780,-380
917,-673,-760,-900
918,-505,-614,155
919,374,-486,-859
920,-281,-757,-108
921,-577,-737,197
922,-897,-541,-180
923,-990,7,549
924,-52,322,48
925,225,308,-596
926,-537,-24,152
927,899,687,863
928,-948,-848,800
929,-670,672,-287
930,293,-72,48
931,665,994,247
932,465,-350,-445
933,511,623,-698
934,323,-828,852
935,-289,-248,183
936,-3,-697,-423
937,283,578,-745
938,304,95,44
939,890,-460,-777
940,-646,-983,-664
941,-874,307,-411
942,856,-657,-492
943,426,921,-823
944,-726,-36,-429
945,646,-5,-522
946,769,512,723
947,-663,-212,937
948,361,70,118
949,-404,-60,138
950,-215,-345,196
951,842,-397,623
952,-530,-38,303
953,663,-314,-665
954,-534,-149,70
955,17,-830,-844
956,390,-223,-264
957,-379,58,686
958,-632,-944,-725
959,-822,-1,427
960,395,917,502
961,-401,929,-223
962,-548,-172,-582
963,341,-75,216
964,758,894,-199
965,-929,110,-183
966,-758,-96,-395
967,-986,199,99
968,298,-841,-620
969,-278,33,-193
970,-594,991,3
971,479,-265,-195
972,487,626,-466
973,881,461,35
974,-884,484,-288
975,277,892,445
976,129,-807,40
977,-193,968,444
978,-698,144,-483
979,-710,-929,-249
980,-785,620,654
981,28,-329,-259
982,-817,7,138
983,41,-137,-875
984,-155,618,775
985,-365,-153,77
986,-583,-117,143
987,776,-753,755
988,769,900,-997
989,516,-86,962
990,587,113,-687
991,34,-790,381
992,-67,408,560
993,-972,306,116
994,750,708,211
995,416,-78,-850
996,903,45,780
997,407,-271,69
998,764,730,447
999,-47,945,136
1000,728,42,228
1001,202,839,-443
1002,-321,369,-621
1003,-571,-592,569
1004,-747,-693,-874
1005,-708,-515,-514
1006,-85,-245,-931
1007,-790,453,-706
1008,571,14,771
1009,350,229,-64
1010,-520,267,793
1011,-957,889,203
1012,-320,527,-840
1013,499,-790,611
1014,314,654,673
1015,749,-198,851
1016,488,-733,-237
1017,-942,602,-547
1018,651,-716,-522
1019,-806,-130,-772
1020,104,-774,-873
1021,-595,-433,793
1022,306,799,276
1023,130,287,-660
1024,-925,106,838
1025,575,-934,-955
1026,-545,-117,-81
1027,-146,503,-566
1028,191,-780,410
1029,-412,-936,-966
1030,333,-816,-189
1031,-340,260,-928
1032,534,-188,-793
1033,6,706,861
1034,833,-900,429
1035,-772,-914,-19
1036,-183,-67,-483
1037,685,-310,-270
1038,4,25,874
1039,-448,353,359
1040,-623,80,-415
1041,330,915,-857
1042,-282,-766,-362
1043,-773,-574,-947
1044,363,-311,-874
1045,543,912,-701
1046,-224,-339,-945
1047,219,-942,-79
1048,672,749,598
1049,-317,-612,-793
1050,-319,540,-810
1051,-524,-668,134
1052,562,-114,855
1053,-911,-408,-886
1054,890,-235,-376
1055,-218,-992,163
1056,-371,-816,-270
1057,758,-39,606
1058,-954,804,871
1059,-271,172,-154
1060,-845,-924,845
1061,75,174,638
1062,-370,107,-398
1063,906,849,-543
1064,309,-828,807
1065,-435,-746,-204
1066,582,897,696
1067,-367,-479,-578
1068,626,225,244
1069,-578,855,337
1070,290,-521,-847
1071,-964,-766,-924
1072,-585,-843,103
1073,518,306,22
1074,-305,-488,-302
1075,-470,696,-244
1076,35,580,-704
1077,-513,676,270
1078,-328,880,-544
1079,-629,205,790
1080,-759,511,-876
1081,-822,-529,-103
1082,760,-728,950
1083,-886,-828,100
1084,-452,-17,-888
1085,-894,-836,-772
1086,-426,-704,-857
1087,-143,132,672
1088,591,405,-754
1089,608,215,971
1090,-3,399,-398
1091,-184,470,509
1092,-453,944,622
1093,-288,-682,789
1094,-993,809,465
1095,-529,313,805
1096,683,611,544
1097,-887,-114,-250
1098,-169,-525,-268
1099,-607,847,150
1100,-859,268,-101
1101,-413,-115,779
1102,-964,-228,837
1103,-610,-670,352
1104,-89,-466,886
1105,-551,-80,-456
1106,-366,223,-231
1107,-548,-437,411
1108,110,477,-769
1109,947,84,494
1110,-896,413,-346
1111,-749,620,-684
1112,202,368,683
1113,-959,286,-546
1114,-465,-354,200
1115,-746,-140,-803
1116,361,753,-686
1117,309,371,-581
1118,-297,-902,-197
1119,-189,-898,-750
1120,599,911,-580
1121,568,-332,250
1122,505,290,-382
1123,114,-8,341
1124,-751,496,-518
1125,-72,402,-755
1126,114,-764,400
1127,-640,713,52
1128,-409,305,-63
1129,773,-657,747
1130,6,-390,184
1131,-125,-382,64
1132,-670,-214,-692
1133,95,-919,-476
1134,151,-672,-635
1135,-522,-277,-434
1136,156,-895,-565
1137,-173,-569,714
1138,909,-452,-617
1139,-802,-902,385
1140,-513,746,364
1141,99,592,-290
1142,787,347,-927
1143,723,-652,-3
1144,-488,-801,-692
1145,-263,-689,-742
1146,-880,-253,276
1147,-617,-287,576
1148,917,-983,-14
1149,922,824,-10
1150,-212,20,-316
1151,-937,-350,597
1152,180,-181,-11
1153,708,-57,-840
1154,-982,-973,-408
1155,-981,415,170
1156,-255,-721,263
1157,381,981,-740
1158,701,129,-702
1159,825,-725,-461
1160,301,814,310
1161,651,-724,-886
1162,621,212,-778
1163,-432,-901,756
1164,-20,-521,39
1165,-643,-345,-437
1166,-338,-520,211
1167,166,-546,-415
1168,-738,-299,-336
1169,732,-833,748
1170,-536,205,10
1171,404,-692,-434
1172,-29,-144,-430
1173,259,434,670
1174,-735,243,581
1175,639,-622,189
1176,610,-896,358
1177,-550,-116,647
1178,470,979,-757
1179,-913,473,919
1180,275,511,976
1181,-282,-843,347
1182,-739,451,-608
1183,-318,-660,404
1184,-66,535,-935
1185,-479,-218,528
1186,-315,-773,-409
1187,657,148,-432
1188,33,41,150
1189,-216,664,-926
1190,568,825,683
1191,507,-640,979
1192,-324,59,888
1193,-252,241,989
1194,416,-516,496
1195,-94,-463,403
1196,487,497,0
1197,-880,-372,-955
1198,739,-351,354
1199,-388,-18,-478
1200,-91,-751,-414
1201,-877,-684,-719
1202,604,-506,-612
1203,-202,924,962
1204,367,-408,-298
1205,-146,-460,364
1206,951,615,547
1207,-623,290,658
1208,-427,357,466
1209,216,-721,-118
1210,-126,79,-814
1211,-386,-344,-493
1212,-514,-557,-315
1213,-314,-929,-791
1214,-337,592,-80
1215,-594,-778,-670
1216,-712,-536,499
1217,225,939,98
1218,-447,-89,399
1219,-21,-59,704
1220,-162,-263,-141
1221,-738,932,-653
1222,601,-682,824
1223,-65,739,-648
1224,230,-773,-772
1225,689,992,-889
1226,934,435,729
1227,278,-929,33
1228,-642,-987,-942
1229,584,-846,125
1230,890,-289,285
1231,101,899,-699
1232,-108,60,396
1233,-18,790,-271
1234,953,47,-532
1235,893,180,-368
1236,4,449,421
1237,920,722,-825
1238,551,-310,-634
1239,-712,271,-127
1240,-937,-312,-670
1241,252,-388,-431
1242,-657,466,41
1243,-554,642,328
1244,-256,309,56
1245,-542,-645,-829
1246,167,890,-151
1247,79,-276,652
1248,-94,-764,-149
1249,392,-558,154
1250,-911,-959,671
1251,-785,-403,-578
1252,-169,741,538
1253,750,416,402
1254,874,448,853
1255,158,19,945
1256,-517,803,-689
1257,961,-247,-66
1258,-647,-907,973
1259,-836,-774,364
1260,4,862,525
1261,-262,-894,288
1262,822,393,-829
1263,47,-761,-797
1264,837,-710,-205
1265,-707,643,-939
1266,-738,-110,-715
1267,-140,123,-688
1268,-730,-512,-201
1269,893,-639,-585
1270,560,981,-192
1271,-798,535,462
1272,495,361,435
1273,859,-878,788
1274,342,-504,894
1275,184,77,-997
1276,-346,165,-284
1277,732,-289,930
1278,-337,388,58
1279,600,-775,257
1280,-15,134,-293
1281,-484,-502,-195
1282,-196,452,-417
1283,696,991,-636
1284,937,100,-631
1285,-152,636,-932
1286,-510,-316,304
1287,431,-34,-595
1288,803,-741,-10
1289,-984,-87,-996
1290,150,-869,705
1291,622,-154,-801
1292,-461,-493,-117
1293,-13,855,-557
1294,-724,3,-877
1295,71,-528,63
1296,711,110,-299
1297,772,274,725
1298,40,-808,304
1299,-65,-960,764
1300,-130,804,587
1301,-241,692,-878
1302,-753,-821,-924
1303,269,-317,-670
1304,-358,940,599
1305,400,925,59
1306,-390,-867,713
1307,-866,369,-635
1308,323,-614,-833
1309,-482,435,-59
1310,835,-822,406
1311,-157,-933,-295
1312,86,622,941
1313,729,-111,-93
1314,534,-551,-840
1315,405,917,85
1316,-461,-368,943
1317,-157,-319,572
1318,-993,891,311
1319,358,-640,932
1320,387,469,-706
1321,541,-800,-802
1322,-444,-54,-897
1323,60,-333,-454
1324,-404,-532,-660
1325,-840,-803,-856
1326,500,837,629
1327,768,-952,-843
1328,-440,-783,-55
1329,-354,877,-460
1330,-353,24,-899
1331,147,-100,-664
1332,-777,740,-780
1333,-285,741,946
1334,-437,654,-42
1335,-965,-836,-860
1336,-128,725,949
1337,-769,965,-69
1338,-125,-856,-278
1339,964,-639,767
1340,-328,742,489
1341,-149,-396,-750
1342,424,675,46
1343,480,535,-419
1344,819,251,-864
1345,27,543,32
1346,-629,854,-314
1347,-16,417,-765
1348,212,307,510
1349,691,-777,348
1350,115,-125,890
1351,-166,-398,402
1352,309,-473,932
1353,-222,107,-859
1354,-895,674,-972
1355,-898,749,886
1356,-262,246,-503
1357,863,909,5
1358,357,401,-926
1359,585,-41,796
1360,892,885,-392
1361,-15,566,50
1362,-501,722,-764
1363,595,-778,-397
1364,-14,-944,410
1365,763,-750,-10
1366,-553,304,723
1367,51,92,-81
1368,355,177,-672
1369,661,352,138
1370,-113,-224,-530
1371,143,-998,546
1372,819,-465,799
1373,-178,-866,-261
1374,461,-98,-566
1375,-553,800,64
1376,-456,30,587
1377,629,-562,-528
1378,272,978,-998
1379,430,408,-955
1380,-45,940,-424
1381,-811,43,273
1382,-347,337,-665
1383,977,-678,866
1384,-777,-906,-817
1385,-202,-815,865
1386,-104,951,-765
1387,-787,-234,-625
1388,481,507,61
1389,-227,625,625
1390,577,-554,-618
1391,633,-109,710
1392,693,-908,431
1393,389,-150,-65
1394,452,820,-749
1395,67,-475,-8
1396,556,502,500
1397,-495,284,-232
1398,596,522,18
1399,974,-980,-829
1400,-462,285,-113
1401,211,420,873
1402,-776,-837,365
1403,973,-323,878
1404,715,920,881
1405,853,507,890
1406,-411,200,464
1407,712,562,437
1408,-235,570,-153
1409,-51,56,522
1410,78,-982,644
1411,750,-494,81
1412,-843,-716,915
1413,315,691,-432
1414,-78,548,379
1415,746,452,-781
1416,655,26,-334
1417,-383,-765,-498
1418,-174,-238,972
1419,750,311,-900
1420,755,-790,67
1421,653,-383,-27
1422,-796,550,705
